,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
39711,10735.0,9863.0,9515.0,8424.0,21084.0,12226.0,8163.0,-72.45423334353087,2.2064721493503807,coca,cana
39751,11254.0,10527.0,10792.0,10302.0,21538.0,18079.0,11729.0,-72.57613113843921,2.1673571476673508,coca,cana
39851,10896.0,10052.0,10055.0,9363.0,22880.0,16255.0,10152.0,-72.52941640129517,2.217988517144205,coca,cana
40279,9859.0,9084.0,9763.0,8262.0,18889.0,12173.0,8060.0,-71.79907019342173,1.4270476413190523,coca,cana
40359,32036.0,32646.0,33478.0,34808.0,40349.0,33634.0,25983.0,-71.51934701464295,2.2005031886224193,coca,cana
40400,10105.0,9356.0,9399.0,9835.0,16829.0,20392.0,13407.0,-72.36004570238846,1.8690253463188196,coca,cana
40540,9512.0,8481.0,7595.0,6712.0,11443.0,7106.0,5676.0,-71.73480117278284,1.1511042172542019,coca,cana
40553,10570.0,9747.0,9465.0,8767.0,18463.0,14057.0,9063.0,-72.55256493223952,1.979400109738277,coca,cana
40573,8293.0,7505.0,6856.0,5940.0,15578.0,9176.0,6053.0,-72.36978702641302,2.2543140259650905,coca,cana
40605,12539.0,11632.0,10390.0,9986.0,13115.0,13720.0,12665.0,-76.00751325488476,0.32728082764909444,coca,cana
40698,13084.0,12622.0,13199.0,14224.0,22678.0,25292.0,21221.0,-75.26916286944079,1.1696673294066764,coca,cana
40717,11464.0,10451.0,9318.0,8933.0,9175.0,13767.0,13366.0,-75.33062016937315,0.9433014986504945,coca,cana
40772,10701.0,9822.0,9454.0,8573.0,18867.0,14959.0,10070.0,-75.31575775259222,1.74098783134269,coca,cana
40856,9646.0,8604.0,7139.0,6924.0,0.0,2717.0,4639.0,-71.82208936731516,1.429247776565911,coca,cana
40988,12985.0,12270.0,11563.0,11454.0,15168.0,14829.0,12348.0,-75.4773859262694,0.4626181190797068,coca,cana
41112,11893.0,11167.0,10183.0,9516.0,16929.0,12264.0,8759.0,-71.93674820167558,1.5664091829935018,coca,cana
41124,10591.0,9783.0,9326.0,8933.0,16676.0,15376.0,10318.0,-72.49448377974805,1.9806685919882978,coca,cana
41382,9784.0,9102.0,10669.0,8522.0,24340.0,6845.0,5113.0,-71.860140318345,1.366562123768436,coca,cana
41389,11740.0,10794.0,10753.0,10481.0,19908.0,21065.0,15190.0,-75.25649081793497,1.1888033179809825,coca,cana
41409,11017.0,10289.0,9754.0,9480.0,17745.0,17308.0,11551.0,-72.47822293124337,2.124489890260334,coca,cana
41475,10815.0,10039.0,9645.0,9083.0,18657.0,14165.0,9369.0,-72.74579200318495,2.0006942028691634,coca,cana
41487,9071.0,8178.0,8291.0,7906.0,22744.0,22870.0,14026.0,-72.10478844507305,1.5848114202268166,coca,cana
41792,10040.0,9070.0,8500.0,7293.0,19370.0,10432.0,6861.0,-72.51162736133779,1.4337653228283909,coca,cana
41833,9211.0,8437.0,8087.0,7380.0,16678.0,13505.0,8708.0,-75.95183678869174,1.3797019896591063,coca,cana
41907,10206.0,9410.0,9576.0,8070.0,29218.0,12982.0,8019.0,-71.94841085018982,1.5086968143142008,coca,cana
42029,24521.0,24675.0,24849.0,25482.0,31780.0,27285.0,22909.0,-71.52858874755822,2.163273985500037,coca,cana
42124,10414.0,9574.0,8942.0,9665.0,12518.0,18006.0,13999.0,-71.9034915607477,1.25915960062794,coca,cana
42140,10191.0,9203.0,8877.0,7732.0,19233.0,11846.0,8020.0,-72.0981509695629,1.409150230307642,coca,cana
42627,10559.0,9678.0,9300.0,8730.0,18568.0,12845.0,8566.0,-72.51993668091029,1.9910112366447459,coca,cana
42660,9894.0,9089.0,8952.0,8590.0,16445.0,14481.0,9505.0,-71.87710523354436,1.3660423762068428,coca,cana
42661,29687.0,29696.0,30547.0,31643.0,34155.0,25027.0,18694.0,-71.52332266336414,2.2278748332510587,coca,cana
42824,10194.0,9277.0,8453.0,7868.0,12735.0,11757.0,9050.0,-72.52589554811003,1.4446274246781845,coca,cana
42953,10443.0,9530.0,9424.0,8546.0,19659.0,16012.0,10568.0,-72.548275166803,2.054371277877124,coca,cana
43111,11366.0,10306.0,9002.0,8649.0,7411.0,9326.0,10078.0,-74.4738201957185,1.1377403791081682,coca,cana
43187,14144.0,13488.0,13438.0,12951.0,23489.0,18755.0,14086.0,-71.83273707375676,1.6062260466386258,coca,cana
43346,10070.0,9116.0,8358.0,7374.0,18799.0,10726.0,7209.0,-72.45984069993985,2.237392624878344,coca,cana
43425,10619.0,9770.0,9112.0,8221.0,16264.0,10849.0,7675.0,-72.45464870404075,2.11902805114291,coca,cana
43430,11793.0,10898.0,10773.0,10443.0,20858.0,19704.0,13732.0,-75.27994239371965,1.1001840070147553,coca,cana
43451,26068.0,26230.0,25673.0,25900.0,33106.0,28081.0,23114.0,-72.75871302004933,1.912569519227365,coca,cana
43493,11312.0,10350.0,9650.0,9301.0,14097.0,17704.0,14647.0,-75.32668982413699,0.6870866647451191,coca,cana
43528,10762.0,9917.0,9805.0,8615.0,21668.0,11497.0,7149.0,-72.4458595170019,2.2171679213901863,coca,cana
43603,10578.0,9707.0,9139.0,8173.0,20731.0,12427.0,8150.0,-72.23708406896225,2.1648752614003706,coca,cana
43680,9861.0,9104.0,9596.0,9037.0,23814.0,16297.0,10367.0,-72.40506163958071,2.196490190922601,coca,cana
43754,9046.0,8098.0,7242.0,5915.0,21875.0,13808.0,9149.0,-72.42365568514438,1.8577325212002576,coca,cana
43957,9689.0,8862.0,8505.0,9002.0,16917.0,19377.0,12705.0,-71.99202766006219,1.1902838226487695,coca,cana
44003,11020.0,10285.0,9752.0,9719.0,16184.0,16287.0,10934.0,-72.4734868240545,2.1364127373458617,coca,cana
